track,model,fold,family,n_flows,recall,mean_proba
A1,logistic_regression,1,tcp_rst,131077,0.9999618544824798,0.9995491193141931
A1,logistic_regression,1,tcp_syn_flood,131077,0.8036421340128321,0.8016614619480555
A1,logistic_regression,1,udp_flood,393236,0.3808044024453509,0.38683045909090147
A1,random_forest,1,tcp_rst,131077,1.0,0.9021906970711874
A1,random_forest,1,tcp_syn_flood,131077,1.0,0.9200153344980432
A1,random_forest,1,udp_flood,393236,0.9999974569978334,0.9059480312077226
A1,extra_trees,1,tcp_rst,131077,1.0,0.9708305042074509
A1,extra_trees,1,tcp_syn_flood,131077,0.999992370896496,0.9776287983399072
A1,extra_trees,1,udp_flood,393236,1.0,0.9692474239388055
A1,hist_gradient_boost,1,tcp_rst,131077,0.21216536844755374,0.2964463549209296
A1,hist_gradient_boost,1,tcp_syn_flood,131077,0.6679966737108722,0.5944028334294988
A1,hist_gradient_boost,1,udp_flood,393236,0.6565014393392263,0.6431352067747893
A1,logistic_regression,2,benign,3746,0.9746396155899626,0.9748282941480142
A1,random_forest,2,benign,3746,0.9997330485851575,0.9742925787506673
A1,extra_trees,2,benign,3746,0.99893219434063,0.9638040576615056
A1,hist_gradient_boost,2,benign,3746,0.996262680192205,0.9961606979812265
A1,logistic_regression,3,benign,7895,0.0,0.0002558597924225426
A1,random_forest,3,benign,7895,0.0006333122229259025,0.006896770107663078
A1,extra_trees,3,benign,7895,0.00037998733375554147,0.007598480050664978
A1,hist_gradient_boost,3,benign,7895,0.0001266624445851805,0.00020726586247729744
A2,logistic_regression,1,benign,473,0.0,0.0007775239756099994
A2,logistic_regression,1,http_slow_body,5757,0.9826298419315616,0.9836009276721324
A2,logistic_regression,1,http_slow_header,5328,0.9954954954954955,0.9959949293433422
A2,logistic_regression,1,tcp_syn_low,16016,0.9990634365634365,0.9988464094805989
A2,logistic_regression,1,udp_flood,131079,0.9999618550645031,0.9998361159964687
A2,random_forest,1,benign,473,0.0,0.004714587737843552
A2,random_forest,1,http_slow_body,5757,1.0,0.9890811186381797
A2,random_forest,1,http_slow_header,5328,0.9998123123123123,0.9993637387387386
A2,random_forest,1,tcp_syn_low,16016,0.9998126873126874,0.9996903096903097
A2,random_forest,1,udp_flood,131079,1.0,0.9954551835152848
A2,extra_trees,1,benign,473,0.0,0.0040169133192389005
A2,extra_trees,1,http_slow_body,5757,1.0,0.9869671704012507
A2,extra_trees,1,http_slow_header,5328,1.0,0.9993975225225227
A2,extra_trees,1,tcp_syn_low,16016,0.9998751248751249,0.999763986013986
A2,extra_trees,1,udp_flood,131079,1.0,0.9929325826410028
A2,hist_gradient_boost,1,benign,473,0.0,0.00011393952233415273
A2,hist_gradient_boost,1,http_slow_body,5757,0.9996525968386313,0.998840846343999
A2,hist_gradient_boost,1,http_slow_header,5328,0.9998123123123123,0.9997092248689543
A2,hist_gradient_boost,1,tcp_syn_low,16016,0.9996878121878122,0.999618378574012
A2,hist_gradient_boost,1,udp_flood,131079,1.0,0.9999922058988067
A2,logistic_regression,2,benign,7635,0.0,0.00016892033432116846
A2,logistic_regression,2,http_low_rate,4799,0.987080641800375,0.9863434792344676
A2,logistic_regression,2,tcp_syn_fast,16005,0.999687597625742,0.9996840102358768
A2,logistic_regression,2,udp_flood,131079,0.9999618550645031,0.9997664923692684
A2,random_forest,2,benign,7635,0.0001309757694826457,0.04130320890635233
A2,random_forest,2,http_low_rate,4799,0.9997916232548447,0.9971556574286309
A2,random_forest,2,tcp_syn_fast,16005,0.9998750390502967,0.9998300531084036
