config,n_features,track,recall,precision,f1,pr_auc,fpr,fnr,roc_auc,recall_std,fpr_std,trackB_agg_recall,recall_rel_degradation,f1_rel_degradation,pr_auc_rel_degradation
A_all_66,66,A2,0.9996818031269246,0.994339978106963,0.9969701700545146,0.9999998106454061,0.17027790327908743,0.00031819687307551317,0.9999943605327342,0.0006986630499469925,0.3804529749970169,0.9978089381894749,0.0,0.0,0.0
B_rate_statistical,11,A2,0.9952931692517335,0.9943360425474344,0.9947563055676515,0.9998483185215893,0.17169970078358326,0.004706830748266583,0.9964164480939107,0.007763960551557754,0.3794786239957982,0.795210485359862,0.004390030769254543,0.002220592504530061,0.000151492152502556
C_directional,16,A2,0.9956013401603725,0.9943141156689691,0.9948959054900239,0.9999899326336816,0.17408455257502978,0.0043986598396275,0.9997162279407652,0.008989627989409714,0.3784810358916479,0.7749355345672042,0.004081761770384043,0.002080568332728799,9.878013594920699e-06
D_timing_iat,22,A2,0.990350696504352,0.9942791903846097,0.9922061439396156,0.9999987257577765,0.1752359253629476,0.009649303495647861,0.9999384601846334,0.014812009417969915,0.3779283625177314,0.3696547094096645,0.009334076696590428,0.004778504169927685,1.0848878350494962e-06
E_tcp_behavior,16,A2,0.9818851580783086,0.9877087373651336,0.9843596480048188,0.9960920518912284,0.583915744132145,0.0181148419216915,0.8261154963265875,0.038149779199357275,0.19080970722559645,0.39998169029127695,0.017802309687892207,0.012648845901784875,0.003907759494129916
F_protocol_indicator,1,A2,0.4002566074405518,0.6008587506362815,0.47572951739452884,0.9847425874925829,0.4062992700500619,0.5997433925594482,0.49965435472385505,0.3793666055562573,0.1862515761151087,0.3999908451456385,0.5996159916199523,0.5228247226609439,0.015257226041849026
cum1_base_rate,11,A2,0.9952931692517335,0.9943360425474344,0.9947563055676515,0.9998483185215893,0.17169970078358326,0.004706830748266583,0.9964164480939107,0.007763960551557754,0.3794786239957982,0.795210485359862,0.004390030769254543,0.002220592504530061,0.000151492152502556
cum2_+directional,27,A2,0.9968959119366776,0.9943198299678503,0.9955569573477066,0.9999990079645897,0.17330129449964188,0.0031040880633224624,0.999971149002967,0.006262676784421391,0.37875659098929676,0.8990326370557988,0.0027867779342716104,0.0014175075135204685,8.02680968361023e-07
cum3_+timing,49,A2,0.9997833061668577,0.9943244288790967,0.9970132402055738,0.9999992296324024,0.17179683043714702,0.00021669383314210002,0.999977407505263,0.00030939969621966837,0.37961375868222114,0.8201040601779094,-0.00010153534816346291,-4.32010428725706e-05,5.810131137262213e-07
cum4_+tcp,65,A2,0.9994078166434168,0.994339978106963,0.9968329879436857,0.9975854848292812,0.17027790327908743,0.0005921833565832401,0.941661391699421,0.00105797963884842,0.3804529749970169,0.7426143212438395,0.00027407369289981067,0.0001375990124372667,0.0024143262732886557
cum5_+protocol_all66,66,A2,0.9996818031269245,0.994339978106963,0.9969701700545146,0.9999998106454063,0.17027790327908746,0.0003181968730755191,0.999994360532734,0.0006986630499470298,0.3804529749970169,0.9978089381894749,1.1105764065650368e-16,0.0,-2.2204464697020526e-16
