precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,threshold,cost_fp_per_1k_benign,missed_attacks
0.9998782721602634,0.9999942027641221,0.9999362341020023,0.9999999991262977,0.9999998724804291,0.017766497461928935,5.797235877933401e-06,1161,21,1,172495,1182,172496,0.05,17.766,1
0.9999652175929414,0.9999942027641221,0.9999797099684925,0.9999999991262977,0.9999998724804291,0.005076142131979695,5.797235877933401e-06,1176,6,1,172495,1182,172496,0.1,5.076,1
0.9999768114597766,0.9999942027641221,0.9999855070363338,0.9999999991262977,0.9999998724804291,0.00338409475465313,5.797235877933401e-06,1178,4,1,172495,1182,172496,0.2,3.384,1
0.9999884055282441,0.9999884055282441,0.9999884055282441,0.9999999991262977,0.9999998724804291,0.001692047377326565,1.1594471755866803e-05,1180,2,2,172494,1182,172496,0.3,1.692,2
0.9999884055282441,0.9999884055282441,0.9999884055282441,0.9999999991262977,0.9999998724804291,0.001692047377326565,1.1594471755866803e-05,1180,2,2,172494,1182,172496,0.4,1.692,2
0.999994202730514,0.9999884055282441,0.999991304120977,0.9999999991262977,0.9999998724804291,0.0008460236886632825,1.1594471755866803e-05,1181,1,2,172494,1182,172496,0.5,0.846,2
1.0,0.9999884055282441,0.999994202730514,0.9999999991262977,0.9999998724804291,0.0,1.1594471755866803e-05,1182,0,2,172494,1182,172496,0.6,0.0,2
1.0,0.9999884055282441,0.999994202730514,0.9999999991262977,0.9999998724804291,0.0,1.1594471755866803e-05,1182,0,2,172494,1182,172496,0.7,0.0,2
1.0,0.9999826082923662,0.9999913040705646,0.9999999991262977,0.9999998724804291,0.0,1.7391707633800203e-05,1182,0,3,172493,1182,172496,0.8,0.0,3
1.0,0.9999826082923662,0.9999913040705646,0.9999999991262977,0.9999998724804291,0.0,1.7391707633800203e-05,1182,0,3,172493,1182,172496,0.9,0.0,3
1.0,0.9999826082923662,0.9999913040705646,0.9999999991262977,0.9999998724804291,0.0,1.7391707633800203e-05,1182,0,3,172493,1182,172496,0.95,0.0,3
