relative_path,family,binary_label,layer,subdirectory,filename,extension,size_bytes,format,magic,version,linktype,linktype_name,snaplen,packets,bytes_wire,avg_packet_size_bytes,duration_sec,first_ts_iso,last_ts_iso,truncated_tail_bytes,n_bad_incl,n_orig_lt_incl,error
Flash traffic\Flash traffic\flash traffic_with_r.pcap,flash_traffic,attack,application,Flash traffic,flash traffic_with_r.pcap,.pcap,61155602,pcap,d4c3b2a1,2.4,1,Ethernet,262144,664535,50523018,76.03,321.675,2022-05-06T06:05:06.073509+00:00,2022-05-06T06:10:27.748585+00:00,0,0,0,
Flash traffic\Flash traffic\flash traffic_without r.pcap,flash_traffic,attack,application,Flash traffic,flash traffic_without r.pcap,.pcap,62629650,pcap,d4c3b2a1,2.4,1,Ethernet,262144,680551,51740810,76.03,325.992,2022-05-06T06:23:56.413690+00:00,2022-05-06T06:29:22.405717+00:00,0,0,0,
http flood_get_post_random\http flood_get_post_random\http flood get_1st.pcap,http_flood,attack,application,http flood_get_post_random,http flood get_1st.pcap,.pcap,555710680,pcap,d4c3b2a1,2.4,1,Ethernet,262144,925413,540904048,584.5,34.07,2022-03-26T09:10:57.634139+00:00,2022-03-26T09:11:31.704016+00:00,0,0,0,
http flood_get_post_random\http flood_get_post_random\http flood get_2nd.pcap,http_flood,attack,application,http flood_get_post_random,http flood get_2nd.pcap,.pcap,924471288,pcap,d4c3b2a1,2.4,1,Ethernet,262144,1489272,900642912,604.75,52.365,2022-05-04T09:49:07.194201+00:00,2022-05-04T09:49:59.559222+00:00,0,0,0,
http flood_get_post_random\http flood_get_post_random\http flood post_1st.pcap,http_flood,attack,application,http flood_get_post_random,http flood post_1st.pcap,.pcap,614319098,pcap,d4c3b2a1,2.4,1,Ethernet,262144,1019012,598014882,586.86,40.856,2022-03-26T09:26:00.841295+00:00,2022-03-26T09:26:41.696799+00:00,0,0,0,
http flood_get_post_random\http flood_get_post_random\http flood post_2nd.pcap,http_flood,attack,application,http flood_get_post_random,http flood post_2nd.pcap,.pcap,874375246,pcap,d4c3b2a1,2.4,1,Ethernet,262144,1419529,851662758,599.96,57.555,2022-05-04T09:52:56.010405+00:00,2022-05-04T09:53:53.565051+00:00,0,0,0,
http flood_get_post_random\http flood_get_post_random\http flood_random.pcap,http_flood,attack,application,http flood_get_post_random,http flood_random.pcap,.pcap,808996218,pcap,d4c3b2a1,2.4,1,Ethernet,262144,1309617,788042322,601.73,38.798,2022-05-04T09:56:54.759280+00:00,2022-05-04T09:57:33.557457+00:00,0,0,0,
http low volume low rate\http low volume low rate\http low rate_1st.pcap,http_low_rate,attack,application,http low volume low rate,http low rate_1st.pcap,.pcap,24514026,pcap,d4c3b2a1,2.4,1,Ethernet,262144,197909,21347458,107.87,1030.122,2022-03-24T06:51:04.846689+00:00,2022-03-24T07:08:14.968212+00:00,0,0,0,
http low volume low rate\http low volume low rate\http low rate_2nd.pcap,http_low_rate,attack,application,http low volume low rate,http low rate_2nd.pcap,.pcap,24828424,pcap,d4c3b2a1,2.4,1,Ethernet,262144,197222,21672848,109.89,1029.964,2022-05-04T07:23:03.876723+00:00,2022-05-04T07:40:13.841068+00:00,0,0,0,
http low volume low rate\http low volume low rate\http low rate_3rd.pcap,http_low_rate,attack,application,http low volume low rate,http low rate_3rd.pcap,.pcap,24636818,pcap,d4c3b2a1,2.4,1,Ethernet,262144,198305,21463914,108.24,1026.134,2022-05-04T07:43:07.665706+00:00,2022-05-04T08:00:13.799663+00:00,0,0,0,
HTTP-Low volume-slow rate-slow body\HTTP-Low volume-slow rate-slow body\slowbody_1st.pcap,http_slow_body,attack,application,HTTP-Low volume-slow rate-slow body,slowbody_1st.pcap,.pcap,16413876,pcap,d4c3b2a1,2.4,1,Ethernet,262144,113856,14592156,128.16,1840.025,2022-03-26T08:03:57.679536+00:00,2022-03-26T08:34:37.704926+00:00,0,0,0,
HTTP-Low volume-slow rate-slow body\HTTP-Low volume-slow rate-slow body\slowbody_2nd.pcap,http_slow_body,attack,application,HTTP-Low volume-slow rate-slow body,slowbody_2nd.pcap,.pcap,13003694,pcap,d4c3b2a1,2.4,1,Ethernet,262144,96358,11461942,118.95,1016.258,2022-05-04T05:09:56.071985+00:00,2022-05-04T05:26:52.330380+00:00,0,0,0,
HTTP-Low volume-slow rate-slow body\HTTP-Low volume-slow rate-slow body\slowbody_3rd.pcap,http_slow_body,attack,application,HTTP-Low volume-slow rate-slow body,slowbody_3rd.pcap,.pcap,13681510,pcap,d4c3b2a1,2.4,1,Ethernet,262144,113348,11867918,104.7,1813.944,2022-05-04T05:29:54.109900+00:00,2022-05-04T06:00:08.053574+00:00,0,0,0,
HTTP-Low volume-slow rate-slow header\HTTP-Low volume-slow rate-slow header\slow header_1st.pcap,http_slow_header,attack,application,HTTP-Low volume-slow rate-slow header,slow header_1st.pcap,.pcap,21715658,pcap,d4c3b2a1,2.4,1,Ethernet,262144,196932,18564722,94.27,1026.285,2022-03-26T06:26:55.487957+00:00,2022-03-26T06:44:01.772685+00:00,0,0,0,
HTTP-Low volume-slow rate-slow header\HTTP-Low volume-slow rate-slow header\slow header_2nd.pcap,http_slow_header,attack,application,HTTP-Low volume-slow rate-slow header,slow header_2nd.pcap,.pcap,21000818,pcap,d4c3b2a1,2.4,1,Ethernet,262144,196568,17855706,90.84,1005.966,2022-05-04T06:05:54.035934+00:00,2022-05-04T06:22:40.001734+00:00,0,0,0,
HTTP-Low volume-slow rate-slow header\HTTP-Low volume-slow rate-slow header\slow header_3rd.pcap,http_slow_header,attack,application,HTTP-Low volume-slow rate-slow header,slow header_3rd.pcap,.pcap,20950212,pcap,d4c3b2a1,2.4,1,Ethernet,262144,196801,17801372,90.45,1034.01,2022-05-04T06:24:59.951135+00:00,2022-05-04T06:42:13.961049+00:00,0,0,0,
HTTP-Low volume-slow rate-slow read\HTTP-Low volume-slow rate-slow read\slow read_1st.pcap,http_slow_read,attack,application,HTTP-Low volume-slow rate-slow read,slow read_1st.pcap,.pcap,982933354,pcap,d4c3b2a1,2.4,1,Ethernet,262144,6918021,872244994,126.08,1812.888,2022-03-24T09:49:17.637505+00:00,2022-03-24T10:19:30.525767+00:00,0,0,0,
HTTP-Low volume-slow rate-slow read\HTTP-Low volume-slow rate-slow read\slow read_2nd.pcap,http_slow_read,attack,application,HTTP-Low volume-slow rate-slow read,slow read_2nd.pcap,.pcap,980840112,pcap,d4c3b2a1,2.4,1,Ethernet,262144,6909490,870288248,125.96,1825.301,2022-05-04T06:45:58.589405+00:00,2022-05-04T07:16:23.890470+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and constant_uniform_exponentially__poisson distributed IDP\Constant Packet size and mix IDP_1-1.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and constant_uniform_exponentially__poisson distributed IDP,Constant Packet size and mix IDP_1-1.pcap,.pcap,1719834220,pcap,d4c3b2a1,2.4,1,Ethernet,262144,4118969,1653930692,401.54,306.444,2022-05-03T09:22:38.956408+00:00,2022-05-03T09:27:45.400428+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and constant_uniform_exponentially__poisson distributed IDP\Constant Packet size and mix IDP_1-2.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and constant_uniform_exponentially__poisson distributed IDP,Constant Packet size and mix IDP_1-2.pcap,.pcap,1719746026,pcap,d4c3b2a1,2.4,1,Ethernet,262144,4118969,1653842498,401.52,325.416,2022-05-03T09:27:45.400433+00:00,2022-05-03T09:33:10.816705+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and constant_uniform_exponentially__poisson distributed IDP\Constant Packet size and mix IDP_1-3.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and constant_uniform_exponentially__poisson distributed IDP,Constant Packet size and mix IDP_1-3.pcap,.pcap,1719691874,pcap,d4c3b2a1,2.4,1,Ethernet,262144,4118970,1653788330,401.51,354.084,2022-05-03T09:33:10.816705+00:00,2022-05-03T09:39:04.900762+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and exponentially distributed IDP\Constant Packet size and exponentially distributed IDP_1-1.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and exponentially distributed IDP,Constant Packet size and exponentially distributed IDP_1-1.pcap,.pcap,2138487518,pcap,d4c3b2a1,2.4,1,Ethernet,262144,5088018,2057079206,404.3,1105.386,2022-05-03T07:32:39.238663+00:00,2022-05-03T07:51:04.624858+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and exponentially distributed IDP\Constant Packet size and exponentially distributed IDP_1-2.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and exponentially distributed IDP,Constant Packet size and exponentially distributed IDP_1-2.pcap,.pcap,2137660556,pcap,d4c3b2a1,2.4,1,Ethernet,262144,5088018,2056252244,404.14,1130.51,2022-05-03T07:51:04.624858+00:00,2022-05-03T08:09:55.134723+00:00,0,0,0,
